step,S,A,E,I,Q,R,T
179,29,5,166,512,393,1150,62
180,28,2,164,525,378,1147,61
181,27,2,163,519,383,1134,60
182,26,1,163,516,379,1132,61
183,22,5,157,508,380,1128,64
184,28,2,152,508,384,1112,61
185,31,1,154,492,395,1096,58
186,20,1,162,485,401,1083,57
187,23,1,158,477,404,1075,54
188,23,4,157,469,414,1071,53
189,23,1,170,454,410,1076,54
190,19,2,157,453,418,1069,57
191,24,3,153,456,411,1067,51
192,30,5,158,441,402,1057,51
193,23,3,162,443,400,1053,53
194,24,3,164,437,395,1037,54
195,23,1,168,438,386,1036,53
196,22,1,166,439,390,1028,52
197,20,3,152,450,385,1033,50
198,20,1,162,446,380,1028,49
199,18,0,167,441,371,1033,50
200,24,1,158,447,370,1015,53
201,21,1,159,451,357,1012,55
202,23,0,151,457,351,1008,51
203,27,3,150,463,347,990,52
204,20,6,150,471,345,982,53
205,21,5,146,465,352,976,55
206,26,3,152,464,357,956,58
207,26,5,163,449,357,954,56
208,24,0,169,439,365,941,55
209,17,3,159,445,376,922,53
210,18,3,168,435,375,918,51
211,16,1,156,441,375,921,49
212,26,3,154,438,366,919,50
213,16,4,156,437,372,911,50
214,20,2,154,440,368,906,51
215,18,1,152,432,372,903,52
216,13,2,147,437,362,906,50
217,23,1,145,437,365,899,47
218,26,2,153,428,380,878,43
219,23,0,158,432,375,864,43
220,20,0,157,423,373,866,47
221,15,0,162,415,371,872,48
222,23,3,154,412,365,855,47
223,19,1,155,401,378,851,48
224,25,2,142,416,384,832,52
225,17,3,136,413,385,844,52
226,19,1,136,407,380,838,53
227,19,1,137,408,373,837,50
228,22,0,151,392,370,831,49
229,17,2,145,399,362,837,49
230,23,1,138,401,359,834,45
231,14,3,143,399,358,830,48
232,29,3,141,392,356,814,49
233,23,3,149,390,352,807,46
234,16,3,152,393,350,797,43
235,11,2,145,400,353,803,42
236,19,1,133,399,353,795,43
237,19,2,138,391,346,796,43
238,23,1,142,391,343,784,40
239,15,2,139,392,348,782,43
240,16,1,134,391,344,787,43
241,14,2,120,397,339,789,43
242,17,1,120,391,340,785,46
243,20,1,115,402,330,780,45
244,25,1,119,399,325,766,46
245,20,2,121,393,312,767,52
246,17,0,128,388,307,760,54
247,10,0,128,388,310,753,53
248,14,1,110,390,310,754,56
249,15,1,118,379,310,754,55
250,13,1,116,372,312,756,52
251,22,2,113,356,313,755,51
252,19,4,117,357,314,742,49
253,29,3,122,342,330,726,47
