step,S,A,E,I,Q,R,T
848,10,1,80,223,190,377,28
849,9,3,77,222,181,388,29
850,3,2,87,226,174,393,32
851,4,2,79,238,173,395,32
852,6,2,75,235,177,400,34
853,12,0,73,234,178,398,30
854,10,1,71,240,176,399,30
855,13,1,76,232,175,395,29
856,6,3,78,235,166,406,28
857,9,1,74,239,168,409,28
858,12,1,78,237,177,403,26
859,8,0,86,237,171,409,24
860,5,1,87,238,174,410,24
861,12,0,89,225,182,408,24
862,13,2,89,227,184,403,23
863,10,2,92,231,182,402,25
864,10,2,85,239,182,399,27
865,13,2,92,237,174,400,26
866,8,0,98,240,165,409,25
867,15,0,97,237,169,402,25
868,6,0,100,237,174,400,28
869,7,1,91,245,178,395,26
870,10,3,89,244,184,387,27
871,10,1,92,250,181,385,27
872,9,2,91,255,178,390,24
873,12,1,95,254,179,384,23
874,6,2,99,255,180,385,23
875,7,2,94,257,172,391,24
876,8,1,90,252,174,391,28
877,9,2,94,241,179,392,26
878,9,1,99,237,178,394,27
879,18,2,101,242,175,382,26
880,6,2,116,235,184,380,25
881,12,0,107,249,180,378,24
882,6,1,98,259,179,378,23
883,15,2,85,258,186,374,24
884,6,1,89,256,190,377,24
885,9,0,92,255,187,379,26
886,10,2,93,259,176,384,26
887,11,2,102,258,185,378,25
888,9,1,106,256,194,377,24
889,9,1,90,271,197,377,25
890,9,3,92,268,200,381,25
891,9,3,88,272,200,384,21
892,7,0,93,265,208,385,23
893,6,1,91,259,212,393,24
894,9,1,92,262,205,396,23
895,5,0,93,265,203,400,24
896,7,1,95,257,201,405,23
897,10,1,86,257,198,414,22
898,12,1,85,257,192,418,19
899,9,1,83,249,190,420,22
900,7,0,95,238,187,425,24
901,10,2,90,241,195,419,24
902,11,4,86,239,200,416,24
903,7,1,91,232,199,422,25
904,10,2,90,224,202,421,25
905,6,0,87,236,194,430,25
906,10,0,82,239,190,433,25
907,15,1,79,246,181,433,24
908,9,1,80,245,181,433,25
909,13,2,82,236,191,427,28
910,12,2,90,238,184,426,27
911,13,0,86,245,183,419,29
912,10,2,93,238,183,423,31
913,14,3,93,239,181,419,29
914,8,1,94,235,184,419,28
915,6,1,89,231,186,421,31
916,12,0,83,232,187,413,33
917,13,1,83,235,192,402,31
918,12,0,94,236,198,389,34
919,9,1,91,238,198,393,31
920,10,1,87,244,198,386,32
921,13,2,91,239,194,392,29
922,11,1,95,236,189,390,29
923,10,1,93,239,191,384,31
924,10,3,84,253,185,383,31
925,5,4,84,252,187,382,29
926,11,2,85,240,195,383,25
927,9,2,93,241,188,388,25
928,6,2,101,232,199,388,24
929,7,1,92,233,191,396,26
930,9,0,94,229,189,399,28
931,10,0,89,235,195,389,30
932,5,3,79,247,189,391,30
933,10,3,77,246,192,390,28
934,8,5,86,242,190,393,30
935,6,2,89,245,192,396,31
936,10,2,85,242,196,398,31
937,8,0,90,246,188,404,32
938,6,2,92,239,190,405,34
939,12,2,86,236,193,404,33
940,9,2,81,244,192,402,34
941,13,1,81,250,188,398,31
942,4,2,92,246,189,401,31
943,12,2,87,249,187,398,31
944,7,1,95,241,188,394,33
945,8,1,97,238,189,401,31
946,12,2,89,244,188,400,28
947,5,3,86,248,189,407,28
948,8,0,79,250,188,408,29
949,8,0,80,248,190,402,30
950,10,1,78,246,185,403,33
951,11,0,80,243,189,398,32
952,5,0,81,246,191,396,32
953,13,1,75,250,189,390,31
954,10,2,83,249,194,387,28
955,9,4,85,247,186,391,28
956,8,5,83,248,187,390,28
957,13,4,81,252,187,390,27
958,8,2,86,250,186,397,28
959,5,0,92,239,191,397,33
960,15,0,86,243,197,387,32
961,9,2,83,246,199,387,35
962,8,1,84,241,210,385,35
963,6,1,83,231,217,392,36
964,5,1,74,228,215,394,37
965,12,0,72,226,215,393,38
966,13,1,75,220,218,394,36
967,5,1,76,223,219,392,39
968,7,3,71,229,208,398,38
969,7,3,67,230,209,397,39
970,12,3,70,226,203,402,39
971,11,0,76,226,197,401,40
972,5,2,74,221,190,411,41
973,9,3,70,226,182,416,42
974,14,3,72,224,187,412,37
975,9,3,82,218,194,408,39
976,8,3,90,216,201,403,41
977,6,3,79,230,193,408,41
978,9,1,90,231,188,407,43
979,6,1,87,237,188,411,41
980,8,1,90,238,186,412,39
981,12,1,93,233,189,409,37
982,9,2,91,236,195,412,31
983,9,0,92,235,190,412,29
984,11,0,91,235,194,410,28
985,9,1,89,240,197,407,28
986,10,1,88,238,193,412,28
987,13,3,85,227,204,409,27
988,11,3,91,224,201,407,30
989,13,4,92,225,198,404,29
990,10,2,98,232,196,403,31
991,11,1,97,240,200,400,31
992,13,2,97,241,194,402,29
993,14,1,99,248,193,393,26
994,12,1,109,248,198,388,22
995,9,2,100,263,194,389,22
996,10,0,101,261,199,385,23
997,13,1,101,256,201,387,24
998,9,1,99,257,207,382,25
999,5,1,107,260,208,383,24
1000,10,0,107,249,209,388,24
1001,9,0,90,254,211,392,24
1002,16,0,92,248,204,390,24
1003,8,1,100,246,198,398,24
1004,10,1,92,245,189,405,20
1005,4,2,94,246,188,405,20
1006,5,1,88,249,191,401,20
1007,5,0,88,242,195,403,22
1008,12,0,91,238,195,399,22
1009,8,2,96,238,194,403,22
1010,4,2,100,236,196,411,22
1011,11,2,91,243,197,403,22
1012,15,2,97,243,199,397,22
1013,8,3,92,247,194,403,27
1014,6,2,93,244,197,407,27
1015,12,3,86,239,206,404,26
1016,11,5,96,240,201,401,26
1017,10,4,95,247,189,402,29
1018,6,2,95,252,192,402,30
1019,9,0,87,258,187,406,28
1020,16,1,85,262,194,391,27
1021,9,1,88,258,195,393,31
1022,10,1,89,257,200,386,31
1023,8,2,90,249,209,385,31
1024,17,3,95,236,207,381,29
1025,7,2,100,238,205,388,30
1026,9,2,84,250,208,392,28
1027,10,0,86,248,211,396,28
1028,11,0,90,244,209,398,32
1029,11,0,85,246,202,399,33
1030,5,2,80,252,200,400,33
1031,10,1,81,244,200,399,32
1032,9,2,75,240,207,399,28
1033,4,0,76,234,207,408,29
1034,8,1,70,243,201,406,29
1035,16,1,72,237,203,398,29
1036,12,1,78,233,207,394,31
1037,18,3,81,237,200,384,32
1038,8,4,94,230,207,387,30
1039,3,2,105,234,207,388,29
1040,11,0,106,243,206,384,27
1041,8,2,102,248,194,400,25
1042,6,1,103,253,196,394,29
1043,5,0,92,259,195,397,30
1044,13,1,81,260,200,389,31
1045,13,1,85,254,207,385,29
1046,13,6,81,260,195,386,31
1047,12,3,86,250,195,392,30
1048,11,1,86,242,198,394,33
1049,13,1,85,243,196,393,38
1050,12,1,85,245,192,394,39
1051,3,3,91,239,188,407,38
1052,8,1,84,245,183,410,35
1053,11,2,88,230,195,410,36
1054,11,1,95,227,194,405,37
1055,12,1,95,229,195,396,37
1056,13,4,100,230,190,393,33
1057,8,2,104,236,189,396,35
1058,9,3,93,243,189,401,34
1059,10,4,89,241,197,397,33
1060,11,4,99,238,192,395,34
1061,10,2,96,235,190,405,32
1062,10,1,103,232,188,403,35
1063,13,3,98,245,186,402,35
1064,9,3,105,245,186,402,34
1065,13,2,96,251,185,399,34
1066,10,2,87,255,175,410,36
1067,13,1,94,258,179,400,35
1068,20,3,97,265,176,391,38
1069,8,4,110,269,171,390,38
1070,10,4,111,263,174,393,36
1071,5,3,97,265,175,399,36
1072,12,1,97,263,173,401,36
1073,12,2,97,267,172,398,34
1074,13,3,97,266,175,395,33
1075,9,3,100,264,182,396,32
1076,7,2,100,256,189,403,31
1077,10,1,101,253,186,406,33
1078,6,2,104,251,192,403,36
1079,9,1,100,250,199,401,35
1080,13,0,98,256,194,401,36
1081,9,1,112,249,194,404,36
1082,9,1,104,255,191,407,36
1083,11,0,99,259,186,412,33
1084,16,1,95,261,190,405,28
1085,14,3,103,249,199,406,26
1086,8,2,103,254,195,412,25
1087,9,0,101,255,195,415,23
1088,9,0,84,265,197,410,23
1089,7,0,90,264,190,414,25
1090,9,0,89,267,189,411,25
1091,8,1,77,272,192,413,24
1092,10,0,82,269,191,418,24
1093,6,0,95,263,189,414,25
1094,12,2,91,261,196,411,23
1095,6,1,96,249,207,416,22
1096,12,2,88,256,205,411,21
1097,14,0,94,254,210,401,19
1098,11,0,92,260,215,395,22
1099,12,1,90,264,215,391,23
1100,12,3,89,260,221,388,23
1101,9,6,89,255,226,385,24
1102,11,4,97,252,218,387,23
1103,8,1,107,247,217,390,22
1104,8,1,111,242,213,392,21
1105,14,1,109,248,213,386,20
1106,9,3,121,246,215,385,21
1107,9,2,119,246,220,380,22
1108,10,1,114,256,217,382,23
1109,11,1,109,250,219,387,23
1110,6,0,119,244,208,402,23
1111,16,0,106,253,214,395,23
1112,8,3,107,250,222,393,23
1113,7,3,98,260,208,404,25
1114,7,1,87,275,203,405,27
1115,7,3,86,268,208,400,26
1116,10,1,86,257,211,402,27
1117,5,3,88,249,213,402,29
1118,9,0,83,244,218,404,30
1119,7,0,84,244,217,407,31
1120,11,0,84,244,214,404,30
1121,8,1,85,247,210,405,29
1122,7,1,87,246,201,415,30
1123,7,0,83,245,199,419,31
1124,17,0,86,237,205,414,30
1125,14,0,89,234,200,417,27
1126,5,2,104,229,196,428,27
1127,10,2,101,220,196,431,25
1128,8,1,101,227,193,430,27
1129,9,0,101,239,190,423,27
1130,7,0,99,242,187,429,26
1131,8,2,100,235,190,432,26
1132,8,2,95,233,197,428,27
1133,7,2,96,236,199,430,28
1134,7,3,87,241,199,422,30
1135,7,0,87,249,201,416,31
1136,3,0,89,253,201,418,32
1137,8,2,77,244,208,416,30
1138,8,1,77,247,211,416,28
1139,12,0,77,240,217,410,29
1140,9,1,79,243,216,407,32
1141,4,2,81,244,224,402,36
1142,11,1,82,245,218,403,37
1143,10,0,92,241,219,403,35
1144,10,0,90,245,214,398,34
1145,2,0,96,247,205,408,35
1146,12,1,85,245,210,407,32
1147,8,3,89,244,207,414,30
1148,16,3,83,252,207,410,29
1149,10,2,93,256,202,409,31
1150,15,2,104,249,200,410,29
1151,5,4,109,245,204,415,31
1152,14,1,108,248,198,413,28
1153,9,5,111,252,197,414,24
1154,8,3,97,258,201,414,24
1155,10,1,104,252,193,417,26
1156,10,0,108,243,199,422,29
1157,10,0,113,240,205,424,28
1158,11,0,107,243,198,425,29
1159,10,1,97,251,196,421,32
1160,4,2,96,256,196,428,32
1161,8,2,91,251,202,428,32
1162,7,2,86,259,199,432,31
1163,11,2,94,248,201,441,28
1164,15,1,98,247,197,436,27
1165,8,0,100,246,202,430,28
1166,10,0,92,257,196,426,28
1167,14,1,97,263,193,421,24
1168,12,1,108,255,202,417,25
1169,16,1,111,253,205,406,25
1170,12,1,119,247,206,405,28
1171,8,2,110,251,204,412,28
1172,10,1,107,261,202,412,26
1173,8,6,109,260,208,411,26
1174,6,2,106,262,215,409,25
1175,3,1,104,270,210,416,24
1176,9,1,87,270,216,415,24
1177,7,1,82,267,225,417,24
1178,8,4,83,255,229,418,25
1179,11,2,84,256,228,414,27
1180,15,3,86,253,228,409,30
1181,6,2,93,248,228,415,30
1182,14,1,87,247,223,416,25
1183,8,0,105,235,225,420,27
1184,11,1,99,238,231,418,26
1185,10,2,91,237,236,416,29
1186,16,3,90,242,232,411,24
1187,6,3,88,246,233,411,26
1188,12,3,84,243,231,414,25
1189,13,5,80,245,230,407,27
1190,7,7,78,244,232,412,26
1191,7,1,96,236,228,422,24
1192,6,1,88,236,225,429,23
1193,14,1,71,256,215,433,26
1194,15,2,75,251,205,433,28
1195,8,0,85,249,192,446,30
1196,12,1,84,248,189,444,29
1197,13,0,79,254,189,436,34
1198,13,3,85,244,187,442,33
1199,9,2,88,246,190,438,35
1200,9,0,86,249,193,440,33
1201,8,4,84,242,199,434,33
1202,12,4,92,239,195,433,34
1203,15,0,102,243,198,426,32
1204,12,2,106,240,193,430,30
1205,7,1,107,241,194,429,30
1206,7,4,105,244,189,435,31
1207,6,1,98,259,187,433,30
1208,9,1,100,264,181,433,32
1209,5,1,110,254,188,433,33
1210,9,0,108,258,184,435,32
1211,11,1,113,257,185,436,34
1212,17,2,109,260,183,432,34
1213,9,1,108,262,192,430,33
1214,6,0,107,260,193,432,34
1215,9,1,98,261,200,432,33
1216,8,1,105,261,205,432,33
1217,12,1,105,251,210,433,34
1218,10,0,101,263,208,435,33
1219,8,2,93,257,219,434,32
1220,6,5,91,255,228,435,33
1221,15,3,82,254,234,430,31
1222,15,2,88,240,240,427,33
1223,12,3,98,240,241,423,31
1224,12,2,100,242,244,417,30
1225,11,4,96,244,240,419,31
1226,5,0,105,245,238,418,33
1227,8,0,99,252,229,423,34
1228,12,1,88,256,226,428,36
1229,9,6,82,263,216,430,38
1230,11,5,84,253,221,430,33
1231,6,3,88,251,219,432,39
1232,5,4,80,246,223,438,38
1233,11,2,78,242,222,434,38
1234,12,3,75,233,226,439,36
1235,11,1,82,240,216,437,35
1236,5,1,90,237,217,443,34
1237,10,0,101,230,215,439,34
1238,13,1,101,229,216,431,33
1239,10,3,104,230,216,433,33
1240,5,5,97,241,201,443,34
1241,11,2,96,243,195,446,34
1242,9,3,102,244,186,451,34
1243,7,1,104,251,180,453,32
1244,6,0,109,248,182,455,30
1245,13,0,101,257,186,451,29
1246,12,2,89,259,183,455,34
1247,11,2,93,263,182,457,33
1248,7,0,97,261,181,461,32
1249,8,1,91,259,190,454,33
1250,12,2,90,257,191,450,32
1251,10,3,86,253,191,454,36
1252,9,0,88,260,188,456,32
1253,12,1,92,254,193,449,32
1254,8,0,87,258,196,452,31
1255,10,0,83,253,194,457,31
1256,11,1,83,250,195,451,31
1257,14,1,82,250,196,435,32
1258,13,2,90,251,187,433,32
1259,8,1,91,250,186,431,34
1260,16,2,94,245,185,429,29
1261,12,0,97,243,187,425,29
1262,11,1,89,250,186,428,27
1263,9,1,92,250,184,432,27
1264,11,1,92,251,186,422,31
1265,13,1,98,254,186,419,29
1266,13,0,102,257,188,415,29
1267,8,1,97,268,186,417,32
1268,16,2,84,270,186,407,32
1269,6,3,81,270,188,413,32
1270,8,2,86,261,192,421,29
1271,10,4,77,264,190,422,29
1272,14,4,86,257,195,410,29
1273,12,2,98,254,202,403,28
1274,6,3,97,260,206,400,28
1275,14,1,99,258,205,396,29
1276,11,3,105,254,205,396,29
1277,5,1,100,260,209,396,30
1278,7,2,92,265,212,396,29
1279,12,3,87,265,216,395,29
1280,7,2,87,265,219,400,28
1281,5,2,93,265,222,391,28
1282,6,2,92,261,222,395,32
1283,10,0,99,253,223,395,32
1284,15,1,93,262,224,387,32
1285,8,1,91,259,221,394,35
1286,14,1,85,259,222,394,32
1287,10,2,94,251,222,397,33
1288,12,0,93,249,222,398,35
1289,8,0,88,252,215,401,34
1290,9,2,84,244,220,402,32
1291,12,2,86,240,221,398,32
1292,7,1,89,238,216,400,33
1293,10,0,85,234,224,392,33
1294,8,1,90,224,224,394,35
1295,10,1,80,231,229,390,36
1296,7,2,75,230,224,397,35
1297,14,2,73,231,220,395,32
1298,12,1,83,225,220,395,34
1299,10,2,79,235,217,398,34
1300,11,2,81,231,214,402,34
1301,14,2,82,234,219,391,34
1302,10,5,83,240,217,390,34
1303,12,4,82,242,221,386,32
1304,4,2,92,237,213,396,32
1305,7,2,80,245,213,393,33
1306,6,3,75,247,211,396,33
1307,8,2,71,241,214,398,31
1308,9,0,68,242,216,397,33
1309,7,0,68,243,211,400,32
1310,11,0,72,238,206,401,33
1311,4,2,84,233,207,407,32
1312,6,1,80,230,204,415,31
1313,11,0,79,232,210,413,31
1314,9,0,92,227,206,411,33
1315,14,1,86,226,208,410,34
1316,11,4,88,228,208,411,34
1317,9,2,92,224,205,415,34
1318,16,4,87,228,206,410,36
1319,11,1,100,225,208,405,33
1320,8,2,97,225,209,402,31
1321,8,4,93,217,216,400,30
1322,13,4,96,215,219,394,31
1323,10,3,95,223,212,399,33
1324,13,2,97,215,215,397,34
1325,4,3,91,224,209,402,35
1326,15,2,89,228,207,401,27
1327,11,1,90,235,204,405,25
1328,9,2,89,235,203,405,28
1329,8,1,92,229,199,413,30
1330,14,2,91,223,204,407,29
1331,5,3,98,217,211,406,29
1332,13,1,93,219,203,406,31
1333,17,1,101,226,202,397,28
1334,9,4,107,222,201,405,28
1335,11,4,110,226,194,408,28
1336,10,3,99,243,194,408,28
1337,9,4,97,243,191,411,30
1338,6,4,104,237,190,416,28
1339,7,4,96,230,200,410,28
1340,10,3,105,223,201,412,26
1341,6,1,104,227,194,414,25
1342,11,1,104,210,195,423,23
1343,5,4,103,201,202,421,24
1344,11,4,102,210,194,418,26
1345,9,4,102,216,189,414,30
1346,8,6,101,214,191,416,30
1347,9,6,103,211,182,423,30
1348,11,4,102,220,180,423,29
1349,11,0,105,219,179,424,28
1350,8,0,101,226,177,430,25
1351,8,1,99,230,174,429,25
1352,8,0,92,240,173,429,25
1353,12,1,93,236,177,424,24
1354,8,1,99,227,186,417,26
1355,19,2,93,234,186,407,26
1356,8,3,101,233,192,401,27
1357,8,2,99,231,192,405,26
1358,8,3,93,243,188,409,25
1359,8,3,97,239,191,401,27
1360,10,2,97,232,190,406,26
1361,11,2,97,242,186,400,25
1362,8,2,99,245,183,397,27
1363,8,2,88,247,190,394,29
1364,11,0,94,244,194,393,25
1365,11,1,86,255,188,390,27
1366,9,2,95,246,193,387,30
1367,11,0,96,246,190,388,32
1368,10,1,87,251,190,390,32
1369,5,0,90,240,190,399,36
1370,6,0,85,234,190,404,38
1371,7,0,79,235,187,409,38
1372,11,0,76,241,186,408,33
1373,6,0,85,233,190,409,35
1374,9,1,77,237,189,411,33
1375,8,2,76,242,189,410,36
1376,11,2,74,245,196,404,35
1377,10,1,82,228,202,400,40
1378,13,2,89,229,201,392,41
1379,11,0,103,225,199,392,37
1380,8,0,96,234,201,392,37
1381,8,1,88,236,201,396,36
1382,7,0,92,234,197,405,33
1383,16,0,94,231,195,399,33
1384,10,0,97,240,198,394,34
1385,11,2,87,251,196,398,31
1386,8,1,87,245,200,402,32
1387,8,1,93,245,198,402,33
1388,11,1,90,255,192,407,30
1389,9,3,82,261,198,404,33
1390,12,2,98,262,194,402,30
1391,7,0,88,271,194,407,30
1392,8,0,84,273,192,408,27
1393,7,2,80,266,201,401,29
1394,11,1,85,258,204,398,27
1395,9,1,92,251,211,400,27
1396,14,3,85,260,202,399,28
1397,5,1,99,253,208,403,30
1398,6,4,99,242,210,406,29
1399,12,1,86,257,209,397,29
1400,6,1,84,260,207,403,32
1401,10,0,80,254,213,403,32
1402,11,0,83,256,212,400,30
1403,5,0,79,261,211,406,31
1404,6,0,82,253,203,411,33
1405,12,0,78,244,212,405,31
1406,11,1,81,241,205,408,32
1407,9,1,81,246,205,403,33
1408,9,1,69,253,201,401,37
1409,7,1,68,245,200,408,37
1410,7,0,73,239,200,410,39
1411,5,1,66,234,210,412,40
1412,8,1,61,232,207,414,36
1413,8,1,74,222,208,414,36
1414,9,3,78,212,213,419,35
1415,6,0,74,217,209,425,36
1416,12,0,71,220,203,427,38
1417,10,2,70,225,200,428,38
1418,13,1,78,220,196,426,36
1419,6,1,84,218,190,433,33
1420,12,1,79,218,184,425,31
1421,4,0,82,220,185,427,36
1422,12,1,83,216,180,428,37
1423,10,2,82,217,183,418,40
1424,14,2,77,219,182,413,43
1425,6,4,87,218,179,418,45
1426,11,4,87,215,186,416,42
1427,11,3,92,223,179,415,42
1428,10,0,103,217,183,414,39
1429,11,1,103,221,183,405,40
1430,6,1,96,228,186,403,40
1431,6,2,94,224,192,408,39
1432,12,2,85,229,196,404,38
1433,8,1,77,242,196,406,38
1434,10,0,76,238,202,403,33
1435,7,1,81,242,195,408,35
1436,11,1,67,247,198,404,36
1437,12,0,77,240,199,399,33
1438,9,2,81,242,193,404,32
1439,10,3,84,237,203,394,32
1440,12,4,87,236,208,384,33
1441,11,2,94,234,209,383,33
1442,13,2,95,228,216,383,30
1443,7,3,102,230,213,385,29
1444,6,4,107,230,211,386,28
1445,11,4,105,230,212,381,29
1446,12,3,108,240,209,377,29
1447,6,1,114,237,210,382,27
1448,12,0,105,237,208,389,25
1449,11,1,107,237,209,387,26
1450,4,0,102,248,211,388,29
1451,8,0,97,252,201,391,28
1452,6,2,96,249,197,393,27
1453,8,3,91,258,191,391,26
1454,5,0,87,266,185,401,24
1455,9,1,84,253,194,396,25
1456,9,0,85,251,193,397,25
1457,9,4,83,246,191,401,25
1458,11,2,83,245,196,395,24
1459,14,3,89,239,195,392,23
1460,10,0,97,242,192,391,26
1461,12,1,97,253,187,385,28
1462,7,1,91,255,186,384,35
1463,8,0,89,257,185,382,35
1464,8,0,82,259,186,386,34
1465,8,0,75,255,187,388,33
1466,6,0,82,245,189,388,35
1467,11,0,81,245,190,391,33
1468,7,1,85,248,188,393,33
1469,12,3,92,239,187,395,31
1470,8,3,84,243,191,392,33
1471,3,2,82,234,196,403,36
1472,9,0,85,235,188,400,34
1473,7,2,77,238,182,404,32
1474,11,2,76,237,184,393,31
1475,7,1,76,237,185,389,33
1476,4,2,73,230,189,396,33
1477,8,0,78,225,193,395,31
1478,9,2,71,237,189,397,31
1479,9,3,69,234,188,404,33
1480,6,1,74,227,193,404,32
1481,12,0,78,232,186,401,31
1482,12,0,75,241,185,399,31
1483,7,1,78,237,187,402,30
1484,7,1,80,231,191,403,28
1485,8,2,77,229,194,402,30
1486,11,1,80,221,196,398,31
1487,13,0,88,213,197,397,30
1488,11,1,90,217,192,398,30
1489,8,2,88,216,198,395,33
1490,13,2,86,216,199,396,32
1491,9,2,92,217,200,393,31
1492,7,3,90,221,195,396,30
1493,6,4,90,218,188,397,30
1494,11,3,78,224,187,396,26
1495,7,1,84,223,185,399,26
1496,8,1,82,226,173,409,23
1497,7,1,81,219,176,415,26
1498,13,2,86,218,171,414,25
1499,7,2,86,224,170,414,25
1500,8,2,76,228,170,422,21
